"","aoi_name","Year","tas_max_year","tas_min_year","tas_mean_year","bio4_year","bio7_year","pr_max_year","pr_min_year","pr_mean_year","pr_accum_year","bio15_year","tas_max_spring","tas_min_spring","tas_mean_spring","bio4_spring","bio7_spring","pr_max_spring","pr_min_spring","pr_mean_spring","pr_accum_spring","bio15_spring","plotname"
"1","atoquedo","2071",23.25,10.35,17.3166666666667,7.04518748271943,-30.8,80.5,23.6,57.7,346.2,34.0309974281884,24.55,10.75,18.3166666666667,3.40342964277702,-20.1,68.6,51.1,58.5,199.1,33.5656162667773,"atoquedo_2071"
"2","deheson_C2","2071",23.6166666666667,10.2666666666667,17.6166666666667,7.37581633900049,-31.6,80.2,19,54.9166666666667,329.5,36.722090820671,24.9166666666667,10.65,18.6833333333334,3.53883219909243,-20.5,59.6,50.2,56.2666666666667,187.8,35.8410216984926,"deheson_C2_2071"
"3","deheson_C5","2071",23.6,10.2166666666667,17.5666666666667,7.3621781197324,-31.7,78.2,18.8,53.8,322.8,36.45682281165,24.9166666666667,10.6166666666667,18.65,3.55527776692624,-20.5,58.4,49.1,55.1666666666667,184.3,35.5536628507572,"deheson_C5_2071"
"4","deheson_O6","2071",23.6,10.2166666666667,17.5666666666667,7.3621781197324,-31.7,78.2,18.8,53.8,322.8,36.45682281165,24.9166666666667,10.6166666666667,18.65,3.55527776692624,-20.5,58.4,49.1,55.1666666666667,184.3,35.5536628507572,"deheson_O6_2071"
"5","deheson_S3","2071",23.5,10.15,17.5333333333334,7.3895647142891,-31.6,79.7,19.2,54.85,329.1,36.4086649562618,24.8166666666667,10.55,18.6166666666667,3.59490380028913,-20.5,59.5,50.1,56.3,188.1,35.4709639938004,"deheson_S3_2071"
"6","deheson_S7","2071",23.5,10.1666666666667,17.4833333333334,7.34483945819557,-31.6,76.8,18.7,53.0166666666667,318.1,36.2384820040985,24.8166666666667,10.55,18.55,3.55527776692622,-20.5,57.5,48.3,54.4,181.9,35.3169764874502,"deheson_S7_2071"
"7","deheson_W1","2071",23.4833333333334,10.0833333333334,17.5,7.37611008594637,-31.8,83.8,19.9,57.55,345.3,36.5958912281992,24.7833333333334,10.5166666666667,18.55,3.55527776692622,-20.6,62.5,52.8,59.2,197.5,35.5759043949809,"deheson_W1_2071"
"8","deheson_W4","2071",23.6166666666667,10.2333333333334,17.6333333333334,7.3895647142891,-31.6,78.4,18.8,53.85,323.1,36.5112482438824,24.9166666666667,10.6166666666667,18.7166666666667,3.59490380028917,-20.6,58.4,49.2,55.1666666666667,184.3,35.6398317450103,"deheson_W4_2071"
"9","la_cana","2071",23.0166666666667,10.1166666666667,17,6.95205005735718,-30.7,60.4,18.5,42.75,256.5,32.6825567557133,24.25,10.4833333333333,17.95,3.34514573673555,-19.8,45.2,38.1,42.7333333333333,146.7,32.6953034627163,"la_cana_2071"
"10","la_ciervina","2071",23.0666666666667,10.55,17.3,6.90702540895863,-30.3,74.4,23.5,54.4,326.4,32.9535658161602,24.3166666666667,10.95,18.25,3.36452076825214,-19.5,66.3,47.9,55.4,189.7,32.3587361082872,"la_ciervina_2071"
"11","la_villa","2071",23.0666666666667,10.7333333333334,17.3333333333334,6.81305120094269,-29.9,76.5,22,54.1166666666667,324.7,35.2234056877374,24.25,11.15,18.2833333333334,3.23161466349771,-19,65.8,47.7,54.3,184.9,35.1044807452681,"la_villa_2071"
"12","las_casillas","2071",23.1333333333334,11.1833333333334,17.5,6.81843090454102,-29.7,59.2,18.4,42.6333333333333,255.8,32.7188719292537,24.3166666666667,11.5833333333334,18.4166666666667,3.28836332137027,-18.6,48.2,37.4,42.7666666666667,146.7,32.6168645343067,"las_casillas_2071"
"13","valdelacasa","2071",23.8333333333334,10.7333333333334,17.8666666666667,7.17479384140524,-31.3,86.1,19.6,57.3166666666667,343.9,38.7867579525218,25.0833333333334,11.2166666666667,18.95,3.36452076825216,-19.9,65.8,52.3,56.9333333333333,190.4,39.0479100113356,"valdelacasa_2071"
